Français,Japonais,Romaji,Kana,Origine,Leçons,Type,Theme,Image,Sound
foulard,スカーフ,sukâfu,KATAKANA,Anglais : scarf,13,nom,,,
serviette de toilette,タオル,taoru,KATAKANA,Anglais : towel,13,nom,,,
jaune,きいろい,kiiroi,HIRAGANA,,13,adjectif,,,
cuillère,スプーン,supûn,KATAKANA,Anglais : spoon,13,nom,,,
couteau,ナイフ,naifu,KATAKANA,Anglais : knife,13,nom,,,
téléphone portable,けいたい,keitai,HIRAGANA,,13,nom,,,
aussi,も,mo,HIRAGANA,,13,,,,
ordinateur portable,ノート-パソコン,nôto-pasokon,KATAKANA,Anglais : personal computer,13,nom,,,
qui (politesse),どなた,donata,HIRAGANA,,13,,,,
avoir acheté,かいました,kaimashita,HIRAGANA,,13,,,,
"il y a , avant",まえ,mae,HIRAGANA,,13,,,,
"juste, pareil, ainsi",そう,sô,HIRAGANA,,13,,,,
nécessaire,ひつよう,hitsuyô (na),HIRAGANA,,13,adjectif,,,
"parce que, puisque",から,kara,HIRAGANA,,13,,,,
léger,かるい,karui,HIRAGANA,,13,adjectif,,,
le bonus,ボーナス,bônasu,KATAKANA,Anglais : bonus,13,nom,,,
appareils électroménagers,かでん-せいひん,kaden-seihin,HIRAGANA,,13,nom,,,
machine à laver,せんたくき,sentakuki,HIRAGANA,,13,nom,,,
refrigérateur,れいぞうこ,reizôko,HIRAGANA,,13,nom,,,
four à micro-onde,でんし-れんじ,denshi-renji,HIRAGANA,,13,nom,,,
aspirateur,そうじき,sôjiki,HIRAGANA,,13,nom,,,
fer à repasser,アイロン,airon,KATAKANA,Anglais : iron,13,nom,,,
radiateur/chauffage,だんどうきぐ,dandô-kigu,HIRAGANA,,13,nom,,,
climatisateur,"クーラー, エアコン","kûrâ, eakon",KATAKANA,Anglais : air conditionner (air con),13,nom,,,
ventilateur électrique,せんぷうき,senpûki,HIRAGANA,,13,nom,,,
téléviseur couleur,カラーテレビ,karâ-terebi,KATAKANA,Anglais : color-television,13,nom,,,
magnétoscope,ビデオ デッキ,bideo-dekki,KATAKANA,Anglais : video-deck,13,nom,,,
"fax, télécopieur","フアクシミリ, フアックス","fakushimiri, fakkusu",KATAKANA,Anglais : fax,13,nom,,,
magnétophone à cassette,カセット レコーダー,kasetto-rekôdâ,KATAKANA,Anglais : cassette recorder,13,nom,,,
café,コーヒー,kôhî,KATAKANA,Anglais : coffee,14,nom,,,
bière,ビール,bîru,KATAKANA,Anglais : beer,14,nom,,,
vin,ワイン,wain,KATAKANA,Anglais : wine,14,nom,,,
boisson,のみもの,nomimono,HIRAGANA,,14,nom,,,
préféré,すき (な),suki (na),HIRAGANA,,14,adjectif,,,
"quoi, que , quel ?",なん,nan,HIRAGANA,,14,,,,
moto,オートバイ,ôtobai,KATAKANA,Anglais : autobike,14,nom,,,
"cache-col, cache-nez",マフラー,mafurâ,KATAKANA,Anglais : muffler,14,nom,,,
lequel,どれ,dore,HIRAGANA,,14,,,,
nourriture,たべもの,tabemono,HIRAGANA,,14,nom,,,
détesté,きらい,kirai,HIRAGANA,,14,adjectif,,,
"comment, que pensez-vous de ?",どう,dô,HIRAGANA,,14,,,,
adorer,だいすき です,dai-suki desu,HIRAGANA,,14,,,,
"le plus, le premier, numero 1",いちばん,ichiban,HIRAGANA,,14,,,,
ustensiles de table,しょっき,shokki,HIRAGANA,,14,nom,,,
baguettes,はし,hashi,HIRAGANA,,14,nom,,,
bol à riz,ちゃわん,chawan,HIRAGANA,,14,nom,,,
bol à soupe,おわん,owan,HIRAGANA,,14,nom,,,
assiette,さら,sara,HIRAGANA,,14,nom,,,
verre,コップ,koppu,KATAKANA,Anglais : cup,14,nom,,,
tasse à café,コーヒー カップ,kôhî-kappu,KATAKANA,Anglais : coffee cup,14,nom,,,
tasse à thé,テイー カップ,tî-kappu,KATAKANA,Anglais : tea cup,14,nom,,,
soucoupe,ソーサー,sôsâ,KATAKANA,Anglais : saucer,14,nom,,,
fourchette,フオーク,fôku,KATAKANA,Anglais : fork,14,nom,,,
paille,ストロー,sutorô,KATAKANA,Anglais : straw,14,nom,,,
serviette,ナプキン,napukin,KATAKANA,Anglais : napkin,14,nom,,,
théière,テイー ポット,tî-potto,KATAKANA,Anglais : tea-pot,14,nom,,,
théière pour thé japonais,きゅうす,kyûsu,HIRAGANA,,14,nom,,,
cafetière,コーヒー ポット,kôhî-potto,KATAKANA,Anglais : coffee-pot,14,nom,,,
riz,こめ,kome,HIRAGANA,,14,nom,,,
hôtel,ホテル,hoteru,KATAKANA,Anglais : hotel,15,nom,,,
taxi,タクシー,takushî,KATAKANA,Anglais : taxi,15,nom,,,
autobus,バス,basu,KATAKANA,Anglais : bus,15,nom,,,
"arrêt, station",のりば,noriba,HIRAGANA,,15,nom,,,
cet endroit-ci,ここ,koko,HIRAGANA,,15,pronom,,,
cet endroit-la,そこ,soko,HIRAGANA,,15,pronom,,,
appartement,アパート,apâto,KATAKANA,Anglais : apartment,15,nom,,,
restaurant,レストラン,resutoran,KATAKANA,Anglais : restaurant,15,nom,,,
toilettes,トイレ,toire,KATAKANA,Anglais : toilet,15,nom,,,
gare,えき,eki,HIRAGANA,,15,nom,,,
banque,ぎんこう,ginkô,HIRAGANA,,15,nom,,,
bureau de poste,ゆうびんきょく,yûbinkyoku,HIRAGANA,,15,nom,,,
l'endroit là-bas,あそこ,asoko,HIRAGANA,,15,pronom,,,
"où, quel endroit",どこ,doko,HIRAGANA,,15,,,,
homme,ほとこ,hotoko,HIRAGANA,,15,nom,,,
femme,おんな,onna,HIRAGANA,,15,nom,,,
arrêt de bus,バス-てい,basu-tei,KATA-HIRA,,15,nom,,,
à destination de,-ゆき,-yuki,HIRAGANA,,15,,,,
alors,それじゃ,soreja,HIRAGANA,,15,,,,
grand magasin,デパート,depâto,KATAKANA,Anglais : department store,15,nom,,,
"devant, avant",まえ,mae,HIRAGANA,,15,,,,
"(j'ai) compris, entendu",わかりました,wakarimashita,HIRAGANA,,15,verbe,,,
"dire, enseigner",おしえる,oshieru,HIRAGANA,,15,verbe,,,
tout droit,まっすぐ,massugu,HIRAGANA,,15,,,,
droite,みぎ,migi,HIRAGANA,,15,nom,,,
gauche,ひだり,hidari,HIRAGANA,,15,nom,,,
en face,しょうめん,shômen,HIRAGANA,,15,,,,
station service,ガソリンスタンド,gasorin-sutando,KATAKANA,Anglais : gas stand,15,nom,,,
à côté,となり,tonari,HIRAGANA,,15,,,,
environ,ぐらい,gurai,HIRAGANA,,15,,,,
