Français,Japonais,Romaji,Kana,Origine,Leçons,Type,Theme,Image,Sound
grand frère ,"あに, おにい さん","ani, o-nii-san",HIRAGANA,,18,nom,,,
grande soeur,"あね, おねえ さん","ane, o-nee-san",HIRAGANA,,18,nom,,,
petit frère ,"おとうと, おとうと さん","otôto, otôto-san",HIRAGANA,,18,nom,,,
petite soeur,"いもうと, いもうと さん","imôto, imôto-san",HIRAGANA,,18,nom,,,
pique-nique,ピクニック,pikunikku,KATAKANA,,19,nom,,,
service,サービス,sâbisu,KATAKANA,,19,nom,,,
beurre,バター,batâ,KATAKANA,,19,nom,,,
confiture,ジャム,jamu,KATAKANA,,19,nom,,,
miel,はちみつ,hachimitsu,HIRAGANA,,19,nom,,,
film,えいが,eiga,HIRAGANA,,19,nom,,,
"amusant, joyeux",たのしい,tanoshii,HIRAGANA,,19,adjectif,,,
"excellent, superbe",すばらしい,subarashii,HIRAGANA,,19,adjectif,,,
orange,オレンジ,orenji,KATAKANA,,19,nom,,,
jus,ジュース,jûsu,KATAKANA,,19,nom,,,
jus d'orange,オレンジジュース,orenjijûsu,KATAKANA,,19,nom,,,
citron,レモン,remon,KATAKANA,,19,nom,,,
lait,ミルク,miruku,KATAKANA,,19,nom,,,
fromage,チーズ,chîzu,KATAKANA,,19,nom,,,
froid,つめたい,tsumetai,HIRAGANA,,19,adjectif,,,
chaud,あつい,atsui,HIRAGANA,,19,adjectif,,,
acide,すっぱい,suppai,HIRAGANA,,19,adjectif,,,
avoir été bien ,よかった,yokatta,HIRAGANA,,19,verbe,,,
ça fait longtemps que,ひさしぶり,hisashiburi,HIRAGANA,,19,,,,
congé,きゅうか,kyûka,HIRAGANA,,19,nom,,,
touriste,かんこうきゃく,kankôkyaku,HIRAGANA,,19,nom,,,
nombreux,おおい,ooi,HIRAGANA,,19,adjectif,,,
étonnant,びっくり,bikkuri,HIRAGANA,,19,adjectif,,,
s'être senti bien,きもち よかった,kimochi yokatta,HIRAGANA,,19,verbe,,,
mais ..,でも,demo,HIRAGANA,,19,,,,
conduite,うんてん,unten,HIRAGANA,,19,nom,,,
s'être fatigué,つかれました,tsukaremashita,HIRAGANA,,19,verbe,,,
voyager,りょこうする,ryokôsuru,HIRAGANA,,19,verbe,,,
vacances,バカンス,bakansu,KATAKANA,,19,nom,,,
partir en vacances,バカンス に いく,bakansu ni iku,KATA-HIRA,,19,,,,
prendre un congé,きゅうか お とる,kyûka o toru,HIRAGANA,,19,,,,
annuler la réservation,よやく お きゃんせるする,yoyaku o kyanserusuru,HIRAGANA,,19,,,,
prendre un taxi,タクシー に のる,takushî ni noru,KATA-HIRA,,19,,,,
descendre la prochaine station,つぎ の えき で おりる,tsugi no eki de oriru,HIRAGANA,,19,,,,
aéroport,くうこう,kûkô,HIRAGANA,,19,nom,,,
douane,ぜいかん,zeikan,HIRAGANA,,19,nom,,,
passeport,パスポート,pasupôto,KATAKANA,,19,nom,,,
visa,ビザ,biza,KATAKANA,,19,nom,,,
interprète,つうやく,tsûyaku,HIRAGANA,,19,nom,,,
"billet, ticket",きっぷ,kippu,HIRAGANA,,19,nom,,,
valise,スーツケース,sûtsukêsu,KATAKANA,,19,nom,,,
souvenir,みやげ,miyage,HIRAGANA,,19,nom,,,
place non fumeur,きねんせき,kin'enseki,HIRAGANA,,19,nom,,,
guitare,ギター,gitâ,KATAKANA,,20,nom,,,
groupe,グロープ,gurôpu,KATAKANA,,20,nom,,,
jeu,ゲーム,gêmu,KATAKANA,,20,nom,,,
saison,シーズン,shîzun,KATAKANA,,20,nom,,,
 zéro,ゼロ,zero,KATAKANA,,20,nom,,,
dessert,デザート,dezâto,KATAKANA,,20,nom,,,
table,テーブル,têburu,KATAKANA,,20,nom,,,
danse,ダンス,dansu,KATAKANA,,20,nom,,,
lit,ベッド,beddo,KATAKANA,,20,nom,,,
stylo à bille,ボールペン,bôrupen,KATAKANA,,20,nom,,,
boîte aux lettres,ポスト,posuto,KATAKANA,,20,nom,,,
fiancé,fイアンセ,fianse,KATAKANA,,20,nom,,,
ferry,fエリーボート,ferîbôto,KATAKANA,,20,nom,,,
thé au lait,ミルクtイー,mirukutî,KATAKANA,,20,nom,,,
discothèque,dイスコ,disuko,KATAKANA,,20,nom,,,
